epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.48074,2.5676,6.38707,2.29464,0.02849,0.05495,0.00786,0.00268,2.18261,5.73408,2.34833,0.00016,0.00016,0.00016
2,6.45758,2.32747,4.25443,2.07997,0.03362,0.06593,0.01118,0.00321,2.4068,6.23457,2.41008,0.000337756,0.000337756,0.000337756
3,9.76821,2.15209,3.35845,1.82562,0.06532,0.12088,0.02534,0.00771,2.70055,4.35064,2.5688,0.000513136,0.000513136,0.000513136
4,13.0766,2.18385,3.13672,1.87444,0.11335,0.12088,0.0446,0.01088,2.816,4.59543,2.74773,0.00068614,0.00068614,0.00068614
5,16.1904,2.1112,2.99239,1.84989,0.13701,0.16484,0.06564,0.02277,2.63721,4.17604,2.62619,0.000856768,0.000856768,0.000856768
6,19.0434,2.04979,2.85714,1.78988,0.09073,0.28571,0.04829,0.01532,2.62725,4.65287,2.73199,0.00102502,0.00102502,0.00102502
7,21.7556,2.11837,2.83702,1.93217,0.03302,0.34066,0.02614,0.00737,2.68688,9.73097,2.9879,0.0011909,0.0011909,0.0011909
8,24.4762,2.20218,2.82112,1.86903,0.09608,0.16484,0.04552,0.0149,2.72231,3.7841,2.90809,0.0013544,0.0013544,0.0013544
9,27.1721,2.22173,2.81922,1.90292,0.06284,0.24176,0.03526,0.01066,2.75821,3.51934,3.00207,0.00151552,0.00151552,0.00151552
10,29.8638,2.07764,2.93313,1.83929,0.07312,0.24176,0.06053,0.01522,2.72712,3.44631,3.05221,0.00167427,0.00167427,0.00167427
11,32.6374,2.11885,2.74199,1.85991,0.05919,0.10989,0.03705,0.00987,2.76402,3.51497,3.24649,0.00183064,0.00183064,0.00183064
12,35.6891,2.06548,2.69627,1.90825,0.0531,0.13187,0.02458,0.00626,2.77182,4.04517,2.97809,0.0018548,0.0018548,0.0018548
13,38.4975,2.11278,2.74457,1.91567,0.03402,0.10989,0.01401,0.00467,2.79707,4.33047,2.96686,0.0018416,0.0018416,0.0018416
14,41.5332,2.1701,2.67927,1.9436,0.03313,0.0989,0.01845,0.00551,2.92566,4.04028,2.94971,0.0018284,0.0018284,0.0018284
15,44.2829,2.04766,2.63204,1.87124,0.10646,0.12088,0.04492,0.01245,2.80901,5.75247,2.93817,0.0018152,0.0018152,0.0018152
16,47.1355,2.03459,2.51785,1.88075,0.08051,0.10989,0.04665,0.0119,2.91746,6.53252,3.11855,0.001802,0.001802,0.001802
17,50.0178,2.03575,2.43027,1.82322,0.05956,0.12088,0.03768,0.01395,3.04307,5.4572,3.2966,0.0017888,0.0017888,0.0017888
18,52.8207,1.99594,2.57673,1.86224,0.05933,0.21978,0.03372,0.01042,3.02129,5.06299,3.18424,0.0017756,0.0017756,0.0017756
19,55.5169,2.04434,2.49511,1.87369,0.02621,0.21978,0.01881,0.00463,3.09294,4.58796,3.49394,0.0017624,0.0017624,0.0017624
20,58.209,2.00127,2.43997,1.83163,0.08125,0.05495,0.02479,0.00704,2.85823,4.49108,3.05586,0.0017492,0.0017492,0.0017492
21,60.906,1.93814,2.40548,1.78163,0.11599,0.10989,0.03764,0.01062,2.84437,4.77217,2.86925,0.001736,0.001736,0.001736
22,63.5442,2.06459,2.5145,1.84228,0.06136,0.04396,0.01835,0.00502,2.96765,5.59318,2.99321,0.0017228,0.0017228,0.0017228
23,66.1295,1.94009,2.34534,1.75441,0.01149,0.14286,0.00936,0.00319,2.80122,7.36708,2.85691,0.0017096,0.0017096,0.0017096
24,68.6894,1.9078,2.35335,1.73855,0.01306,0.46154,0.01086,0.00371,2.69473,7.4794,2.74011,0.0016964,0.0016964,0.0016964
25,71.5588,1.98726,2.22463,1.77697,0.07869,0.05495,0.02262,0.00803,2.61306,4.92346,2.76931,0.0016832,0.0016832,0.0016832
26,74.5299,1.85227,2.20769,1.71129,0.11292,0.08791,0.03876,0.01295,2.64368,3.98625,2.7362,0.00167,0.00167,0.00167
27,77.1507,1.85305,2.21916,1.74135,0.07588,0.25275,0.05141,0.01388,2.89487,3.86719,3.00158,0.0016568,0.0016568,0.0016568
28,79.7689,1.90452,2.21346,1.77686,0.06956,0.20879,0.04307,0.01124,2.90809,4.47427,2.95652,0.0016436,0.0016436,0.0016436
29,82.3234,1.8557,2.09129,1.6805,0.05343,0.08791,0.03077,0.00892,2.81647,4.15304,2.89147,0.0016304,0.0016304,0.0016304
30,84.8565,1.8396,2.08598,1.67821,0.184,0.12088,0.07404,0.0211,2.75652,3.39641,2.80698,0.0016172,0.0016172,0.0016172
31,87.4515,1.81822,2.14849,1.74198,0.11571,0.23077,0.06849,0.02233,2.65761,3.90429,2.73114,0.001604,0.001604,0.001604
32,90.1093,1.82458,2.06182,1.72405,0.08353,0.26374,0.05536,0.01613,2.6575,4.17764,2.79033,0.0015908,0.0015908,0.0015908
33,92.7401,1.84963,2.04205,1.70832,0.07172,0.26374,0.05261,0.01402,2.67796,3.71228,2.73787,0.0015776,0.0015776,0.0015776
34,95.5103,1.84747,2.01515,1.64946,0.11092,0.24176,0.06215,0.01664,2.61837,3.54661,2.56754,0.0015644,0.0015644,0.0015644
35,98.2726,1.78563,1.98833,1.65084,0.19441,0.16484,0.08635,0.0257,2.59607,3.15037,2.5805,0.0015512,0.0015512,0.0015512
36,100.939,1.77748,1.8536,1.66649,0.15129,0.20879,0.08322,0.02969,2.50006,2.97495,2.4301,0.001538,0.001538,0.001538
37,103.614,1.73764,1.84306,1.634,0.16184,0.21978,0.09133,0.03076,2.57079,3.01847,2.52528,0.0015248,0.0015248,0.0015248
38,106.256,1.63843,1.85259,1.5949,0.18715,0.14423,0.06753,0.02078,2.71195,3.31106,2.6492,0.0015116,0.0015116,0.0015116
39,108.852,1.74571,1.86228,1.62371,0.2223,0.14286,0.07844,0.02327,2.66511,3.29572,2.51943,0.0014984,0.0014984,0.0014984
40,111.477,1.67589,1.76429,1.5852,0.13378,0.15385,0.06429,0.01888,2.50876,3.3576,2.4166,0.0014852,0.0014852,0.0014852
41,114.046,1.72198,1.84995,1.61461,0.21299,0.13187,0.07705,0.02133,2.53863,3.43386,2.47194,0.001472,0.001472,0.001472
42,116.635,1.71222,1.84545,1.55686,0.15319,0.15385,0.08415,0.02221,2.57781,3.22684,2.50268,0.0014588,0.0014588,0.0014588
43,119.217,1.72989,1.81472,1.63404,0.08647,0.13187,0.06339,0.01382,2.67649,3.43863,2.70708,0.0014456,0.0014456,0.0014456
44,121.761,1.7321,1.75757,1.57723,0.17995,0.07692,0.051,0.01386,2.62302,3.50971,2.6972,0.0014324,0.0014324,0.0014324
45,124.324,1.68908,1.71971,1.57097,0.14323,0.0989,0.07889,0.01951,2.56697,3.35135,2.57401,0.0014192,0.0014192,0.0014192
46,126.866,1.61961,1.63449,1.5062,0.10522,0.20879,0.07539,0.01964,2.50031,3.31509,2.51317,0.001406,0.001406,0.001406
47,129.429,1.56799,1.64245,1.49929,0.11937,0.17582,0.07173,0.0191,2.49605,3.24427,2.52077,0.0013928,0.0013928,0.0013928
48,132.008,1.58863,1.68492,1.52757,0.11832,0.18681,0.0727,0.0187,2.53305,3.263,2.5328,0.0013796,0.0013796,0.0013796
49,134.578,1.54669,1.60983,1.52874,0.14768,0.14286,0.0641,0.01819,2.56508,3.48118,2.54143,0.0013664,0.0013664,0.0013664
50,137.149,1.51922,1.54193,1.48381,0.15247,0.16016,0.09407,0.02489,2.63484,3.45949,2.58159,0.0013532,0.0013532,0.0013532
51,139.791,1.63624,1.63429,1.5433,0.14647,0.26374,0.09975,0.02572,2.64042,3.42226,2.56932,0.00134,0.00134,0.00134
52,142.348,1.6323,1.58788,1.54643,0.14178,0.23077,0.09142,0.02523,2.62877,3.43191,2.55671,0.0013268,0.0013268,0.0013268
53,144.922,1.6012,1.59743,1.52106,0.2344,0.17582,0.10769,0.03064,2.56552,3.26101,2.49593,0.0013136,0.0013136,0.0013136
54,147.504,1.50043,1.46026,1.45906,0.16901,0.1978,0.09285,0.02787,2.52486,3.32378,2.44141,0.0013004,0.0013004,0.0013004
55,150.068,1.48375,1.46745,1.39143,0.13469,0.2429,0.0757,0.02137,2.49721,3.34744,2.43422,0.0012872,0.0012872,0.0012872
56,152.64,1.47719,1.42264,1.44476,0.19024,0.16484,0.07947,0.02349,2.47963,3.30224,2.47382,0.001274,0.001274,0.001274
57,155.188,1.48856,1.45028,1.45029,0.13169,0.24176,0.08808,0.02377,2.45094,3.21634,2.48971,0.0012608,0.0012608,0.0012608
58,157.734,1.49374,1.48667,1.43996,0.19194,0.14286,0.0932,0.02347,2.48677,3.17161,2.55446,0.0012476,0.0012476,0.0012476
59,160.35,1.40567,1.38856,1.3517,0.13904,0.17582,0.0967,0.02616,2.48423,3.16485,2.49831,0.0012344,0.0012344,0.0012344
60,162.992,1.46438,1.34763,1.37625,0.13345,0.18681,0.08341,0.02423,2.49535,3.29771,2.51425,0.0012212,0.0012212,0.0012212
61,165.647,1.40147,1.28998,1.37433,0.10804,0.21978,0.07442,0.02338,2.57419,3.36765,2.54858,0.001208,0.001208,0.001208
62,168.231,1.33582,1.31575,1.37254,0.10977,0.20879,0.07585,0.02375,2.59414,3.32936,2.58965,0.0011948,0.0011948,0.0011948
63,170.806,1.37324,1.29989,1.37857,0.15898,0.17582,0.07891,0.02516,2.49415,3.35815,2.47603,0.0011816,0.0011816,0.0011816
64,173.377,1.38644,1.22563,1.36457,0.13606,0.18681,0.08738,0.02713,2.42841,3.39285,2.46665,0.0011684,0.0011684,0.0011684
65,175.963,1.48008,1.33995,1.38997,0.19428,0.21978,0.11281,0.0321,2.48162,3.38678,2.47952,0.0011552,0.0011552,0.0011552
66,178.618,1.38587,1.2362,1.3153,0.16823,0.1978,0.11118,0.03272,2.54315,3.5055,2.51121,0.001142,0.001142,0.001142
67,181.321,1.30411,1.20227,1.31327,0.15352,0.23077,0.11209,0.03849,2.57008,3.27809,2.52382,0.0011288,0.0011288,0.0011288
68,183.972,1.40478,1.33016,1.41086,0.18894,0.28571,0.11611,0.04268,2.4668,3.1017,2.45619,0.0011156,0.0011156,0.0011156
