epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1047,1.95694,2.153,1.72404,0.33792,0.4803,0.30827,0.10858,2.08155,2.3035,1.95761,0.000552757,0.000552757,0.000552757
2,47.9228,1.77456,1.59039,1.58315,0.6964,0.72973,0.74145,0.3236,1.80947,1.52252,1.62329,0.00109745,0.00109745,0.00109745
3,68.8943,1.7234,1.45013,1.53572,0.68884,0.75713,0.78076,0.37135,1.74022,1.3957,1.60732,0.00163114,0.00163114,0.00163114
4,87.8051,1.68191,1.3351,1.50399,0.79036,0.80122,0.84499,0.41397,1.70916,1.17459,1.55857,0.00161749,0.00161749,0.00161749
5,107.183,1.64687,1.22678,1.47379,0.81276,0.8073,0.85953,0.41853,1.70656,1.1346,1.55813,0.00160099,0.00160099,0.00160099
6,125.995,1.59264,1.15699,1.44367,0.81896,0.81363,0.8679,0.43236,1.67922,1.08052,1.53096,0.00158448,0.00158448,0.00158448
7,144.977,1.55579,1.08743,1.4201,0.84105,0.84775,0.90116,0.48915,1.59084,0.97532,1.47885,0.00156798,0.00156798,0.00156798
8,163.849,1.53924,1.0551,1.40856,0.8678,0.86443,0.91255,0.51611,1.51887,0.90408,1.43078,0.00155148,0.00155148,0.00155148
9,185.667,1.52244,1.03516,1.40406,0.88022,0.86555,0.92887,0.54529,1.45093,0.8911,1.39209,0.00153497,0.00153497,0.00153497
10,207.578,1.50512,0.99413,1.37661,0.89053,0.87552,0.93667,0.54141,1.47228,0.83327,1.3665,0.00151847,0.00151847,0.00151847
11,229.221,1.4383,0.94187,1.35835,0.89272,0.87939,0.93705,0.55313,1.42548,0.82351,1.37853,0.00150197,0.00150197,0.00150197
12,251.064,1.4385,0.91538,1.34552,0.88944,0.85293,0.92132,0.52239,1.5207,0.86254,1.45775,0.00148546,0.00148546,0.00148546
13,273.173,1.41796,0.90766,1.34016,0.89037,0.87992,0.94089,0.55977,1.43,0.78853,1.36193,0.00146896,0.00146896,0.00146896
14,294.448,1.42382,0.87598,1.3323,0.89965,0.89855,0.94547,0.56831,1.42138,0.75157,1.36231,0.00145246,0.00145246,0.00145246
15,317.289,1.37721,0.84887,1.3049,0.88935,0.90343,0.94694,0.5825,1.36176,0.74236,1.32441,0.00143595,0.00143595,0.00143595
16,339.544,1.35631,0.84253,1.29392,0.89232,0.88459,0.93808,0.5274,1.53164,0.80605,1.41327,0.00141945,0.00141945,0.00141945
17,362.361,1.34442,0.83005,1.29275,0.89635,0.90869,0.95153,0.60158,1.31946,0.71321,1.29248,0.00140295,0.00140295,0.00140295
18,383.625,1.32712,0.80162,1.27849,0.90252,0.90188,0.95499,0.57236,1.41561,0.72043,1.344,0.00138644,0.00138644,0.00138644
19,404.978,1.31685,0.79334,1.27588,0.89467,0.91362,0.95262,0.60352,1.32625,0.69943,1.30981,0.00136994,0.00136994,0.00136994
20,425.174,1.29498,0.78629,1.26316,0.91696,0.89827,0.95564,0.60966,1.30036,0.66708,1.29586,0.00135344,0.00135344,0.00135344
21,445.302,1.28655,0.76304,1.25652,0.90665,0.91746,0.96017,0.61811,1.29871,0.6768,1.31495,0.00133693,0.00133693,0.00133693
22,465.087,1.28106,0.76512,1.25527,0.919,0.91331,0.96134,0.63428,1.24452,0.65045,1.2674,0.00132043,0.00132043,0.00132043
23,484.717,1.25861,0.75003,1.24118,0.91011,0.91319,0.95678,0.61976,1.25431,0.65504,1.28181,0.00130393,0.00130393,0.00130393
24,503.716,1.24402,0.73972,1.237,0.90952,0.90841,0.95784,0.60897,1.29998,0.67661,1.30525,0.00128742,0.00128742,0.00128742
25,523.237,1.23513,0.73565,1.23212,0.91274,0.90945,0.96046,0.63369,1.24924,0.6337,1.27952,0.00127092,0.00127092,0.00127092
26,542.859,1.2273,0.71413,1.22864,0.91595,0.92628,0.96579,0.6439,1.22007,0.61417,1.26097,0.00125442,0.00125442,0.00125442
27,562.492,1.2105,0.70953,1.21159,0.90767,0.91913,0.95855,0.61671,1.29699,0.64136,1.31142,0.00123791,0.00123791,0.00123791
28,581.976,1.21203,0.71754,1.22133,0.91867,0.92918,0.96869,0.65911,1.18509,0.59252,1.22876,0.00122141,0.00122141,0.00122141
29,602.776,1.20377,0.70627,1.21582,0.91175,0.92773,0.96428,0.61896,1.27751,0.62761,1.27769,0.00120491,0.00120491,0.00120491
30,632.221,1.19375,0.68751,1.20585,0.92107,0.92296,0.96638,0.6158,1.31259,0.6397,1.31361,0.0011884,0.0011884,0.0011884
31,653.558,1.18545,0.68307,1.20171,0.92113,0.92252,0.96603,0.63444,1.23849,0.59583,1.26178,0.0011719,0.0011719,0.0011719
32,673.758,1.15011,0.66686,1.18382,0.91531,0.93392,0.96901,0.66923,1.15149,0.58565,1.19629,0.0011554,0.0011554,0.0011554
33,694.92,1.1699,0.67184,1.19496,0.92559,0.92614,0.96743,0.63847,1.24668,0.59764,1.26281,0.00113889,0.00113889,0.00113889
34,716.59,1.16232,0.6699,1.17812,0.92349,0.93064,0.97035,0.63864,1.24164,0.60308,1.25072,0.00112239,0.00112239,0.00112239
35,739.008,1.14817,0.66114,1.17931,0.92874,0.93292,0.97062,0.67702,1.13447,0.56927,1.21432,0.00110589,0.00110589,0.00110589
36,761.365,1.14599,0.66325,1.17979,0.92504,0.93591,0.97223,0.68272,1.09977,0.5408,1.17188,0.00108938,0.00108938,0.00108938
37,783.692,1.12897,0.65501,1.16255,0.91724,0.93285,0.96602,0.6493,1.20303,0.58447,1.22427,0.00107288,0.00107288,0.00107288
38,805.326,1.11663,0.63715,1.15896,0.92492,0.92549,0.97026,0.67008,1.138,0.56056,1.19787,0.00105638,0.00105638,0.00105638
39,826.57,1.10348,0.6293,1.15154,0.9188,0.93417,0.96878,0.6312,1.26407,0.59278,1.26447,0.00103987,0.00103987,0.00103987
40,847.2,1.11319,0.63613,1.1619,0.91632,0.93304,0.96847,0.64401,1.24159,0.58128,1.24798,0.00102337,0.00102337,0.00102337
41,868.052,1.10783,0.62459,1.15589,0.92343,0.93501,0.97084,0.66751,1.15448,0.55374,1.21608,0.00100687,0.00100687,0.00100687
42,888.858,1.08732,0.61753,1.14693,0.92266,0.92564,0.96601,0.66,1.16398,0.56695,1.22051,0.000990365,0.000990365,0.000990365
43,908.818,1.0932,0.62805,1.14933,0.9218,0.92448,0.96775,0.63348,1.25399,0.58481,1.25613,0.000973861,0.000973861,0.000973861
44,928.401,1.08306,0.6244,1.14642,0.92277,0.9434,0.97424,0.69434,1.07816,0.53499,1.17181,0.000957358,0.000957358,0.000957358
45,947.514,1.07099,0.60921,1.14234,0.93263,0.94025,0.97594,0.69532,1.06529,0.52126,1.16923,0.000940855,0.000940855,0.000940855
46,966.518,1.05886,0.59669,1.12881,0.93633,0.93502,0.97511,0.68107,1.13504,0.54224,1.2008,0.000924352,0.000924352,0.000924352
47,985.014,1.07047,0.60165,1.14133,0.93052,0.93622,0.97516,0.69621,1.06013,0.51792,1.15284,0.000907848,0.000907848,0.000907848
48,1003.28,1.04998,0.59981,1.13043,0.92501,0.94295,0.97344,0.66845,1.14922,0.53936,1.1899,0.000891345,0.000891345,0.000891345
49,1022.21,1.07687,0.6012,1.13916,0.93172,0.93714,0.97412,0.68229,1.11774,0.52779,1.18503,0.000874842,0.000874842,0.000874842
50,1040.64,1.0527,0.59732,1.12808,0.92736,0.94381,0.97555,0.69115,1.08135,0.51637,1.16325,0.000858338,0.000858338,0.000858338
51,1059.46,1.03726,0.59354,1.12239,0.92379,0.94361,0.97305,0.68679,1.09215,0.53934,1.17513,0.000841835,0.000841835,0.000841835
52,1078.24,1.04182,0.5908,1.12482,0.93166,0.93736,0.97586,0.67922,1.14059,0.5261,1.19111,0.000825332,0.000825332,0.000825332
53,1096.76,1.02292,0.58591,1.11517,0.93023,0.94427,0.97735,0.69463,1.09725,0.50985,1.16517,0.000808828,0.000808828,0.000808828
54,1115.09,1.03189,0.5846,1.11905,0.92925,0.93806,0.97443,0.671,1.15536,0.52911,1.18728,0.000792325,0.000792325,0.000792325
55,1133.32,1.00714,0.5706,1.10728,0.92433,0.93845,0.97418,0.6937,1.07405,0.5402,1.16782,0.000775822,0.000775822,0.000775822
56,1151.95,1.01456,0.57417,1.10676,0.93342,0.93789,0.9764,0.6903,1.09312,0.52257,1.15763,0.000759318,0.000759318,0.000759318
57,1172.19,1.01567,0.57291,1.10878,0.92185,0.93807,0.97394,0.66772,1.17894,0.53815,1.19124,0.000742815,0.000742815,0.000742815
58,1192.19,0.99364,0.55754,1.09612,0.93064,0.93877,0.97547,0.71231,1.03349,0.49511,1.14047,0.000726312,0.000726312,0.000726312
59,1212.25,0.99043,0.55671,1.0988,0.93503,0.93998,0.97672,0.69812,1.08113,0.50374,1.15196,0.000709809,0.000709809,0.000709809
60,1235.17,0.98928,0.5585,1.0922,0.93312,0.93816,0.9759,0.68951,1.08972,0.51071,1.16412,0.000693305,0.000693305,0.000693305
61,1257.9,0.99202,0.55931,1.09853,0.93983,0.93328,0.97621,0.68444,1.12396,0.51636,1.17949,0.000676802,0.000676802,0.000676802
62,1278.69,0.9868,0.55181,1.09132,0.93954,0.93703,0.97766,0.70331,1.04458,0.49799,1.12886,0.000660299,0.000660299,0.000660299
63,1937.03,0.96692,0.53952,1.07718,0.93915,0.94447,0.98055,0.70946,1.05267,0.49064,1.12977,0.000643795,0.000643795,0.000643795
64,1955,0.97372,0.54715,1.08105,0.93696,0.94483,0.98105,0.70651,1.05354,0.48578,1.13353,0.000627292,0.000627292,0.000627292
65,1972.9,0.96527,0.54358,1.08281,0.93417,0.94188,0.97872,0.69281,1.10526,0.49593,1.16372,0.000610789,0.000610789,0.000610789
66,1990.72,0.95711,0.53853,1.0822,0.93368,0.94508,0.97614,0.70162,1.05729,0.4932,1.13907,0.000594286,0.000594286,0.000594286
67,2009.05,0.95748,0.54008,1.08018,0.93175,0.95063,0.97839,0.70011,1.07266,0.48851,1.14032,0.000577782,0.000577782,0.000577782
68,2027.29,0.94461,0.52413,1.06852,0.93357,0.94457,0.97943,0.68422,1.13985,0.50953,1.17698,0.000561279,0.000561279,0.000561279
69,2045.54,0.93927,0.52218,1.06618,0.9421,0.94216,0.97954,0.69545,1.09061,0.48977,1.15239,0.000544776,0.000544776,0.000544776
70,2063.44,0.94986,0.53251,1.0763,0.93821,0.95125,0.98191,0.73105,0.9789,0.46115,1.10284,0.000528272,0.000528272,0.000528272
71,2081.25,0.94648,0.52951,1.07182,0.93498,0.94714,0.97985,0.71609,1.02325,0.47616,1.12068,0.000511769,0.000511769,0.000511769
72,2099.2,0.94942,0.52856,1.07349,0.94011,0.94716,0.98162,0.72844,0.99184,0.46269,1.10426,0.000495266,0.000495266,0.000495266
73,2118.74,0.91633,0.50596,1.05796,0.94316,0.94863,0.98112,0.74155,0.94634,0.45159,1.0768,0.000478762,0.000478762,0.000478762
74,2138.79,0.9155,0.50847,1.05155,0.93594,0.94383,0.97759,0.69821,1.0871,0.4907,1.14419,0.000462259,0.000462259,0.000462259
75,2158.46,0.90392,0.5046,1.04785,0.93686,0.94807,0.981,0.70866,1.04772,0.47805,1.12656,0.000445756,0.000445756,0.000445756
