epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19.8009,1.06282,1.55812,1.18279,0.42413,0.28,0.19141,0.08821,2.12917,2.634,2.28734,0.0011882,0.0011882,0.0011882
43,20.2355,0.96117,1.40472,1.09677,0.42413,0.28,0.19141,0.08821,2.12917,2.634,2.28734,0.0011684,0.0011684,0.0011684
44,20.6808,1.14291,1.52999,1.20952,0.42986,0.27185,0.17282,0.08495,2.15104,2.53728,2.30969,0.0011486,0.0011486,0.0011486
45,21.1065,0.91424,1.28291,1.02764,0.42986,0.27185,0.17282,0.08495,2.15104,2.53728,2.30969,0.0011288,0.0011288,0.0011288
46,21.5408,0.99998,1.40276,1.1515,0.42986,0.27185,0.17282,0.08495,2.15104,2.53728,2.30969,0.001109,0.001109,0.001109
47,21.9881,0.93038,1.4567,1.08631,0.39009,0.44,0.24427,0.10293,2.10932,2.75009,2.23731,0.0010892,0.0010892,0.0010892
48,22.4187,1.04601,1.46096,1.09368,0.39009,0.44,0.24427,0.10293,2.10932,2.75009,2.23731,0.0010694,0.0010694,0.0010694
49,22.8519,1.02988,1.38938,1.15561,0.36311,0.4,0.2279,0.10664,2.02086,2.71327,2.12507,0.0010496,0.0010496,0.0010496
50,23.3056,0.92925,1.25539,1.09973,0.36311,0.4,0.2279,0.10664,2.02086,2.71327,2.12507,0.0010298,0.0010298,0.0010298
51,23.7452,1.14787,1.70889,1.27787,0.36311,0.4,0.2279,0.10664,2.02086,2.71327,2.12507,0.00101,0.00101,0.00101
52,24.1903,1.07199,1.51561,1.19543,0.28015,0.43597,0.24872,0.10643,1.92076,2.5079,2.00311,0.0009902,0.0009902,0.0009902
53,24.6239,0.83582,1.24624,1.10188,0.28015,0.43597,0.24872,0.10643,1.92076,2.5079,2.00311,0.0009704,0.0009704,0.0009704
54,25.0588,0.98929,1.25744,1.11054,0.28015,0.43597,0.24872,0.10643,1.92076,2.5079,2.00311,0.0009506,0.0009506,0.0009506
55,25.5156,0.90668,1.31772,1.07693,0.31043,0.32,0.22232,0.11226,1.74677,2.39081,1.84455,0.0009308,0.0009308,0.0009308
56,25.9679,0.88164,1.25999,1.02773,0.31043,0.32,0.22232,0.11226,1.74677,2.39081,1.84455,0.000911,0.000911,0.000911
57,26.4239,0.99763,1.31336,1.11294,0.35764,0.4,0.28493,0.14933,1.74602,2.20345,1.82937,0.0008912,0.0008912,0.0008912
58,26.853,0.87508,1.25162,1.02863,0.35764,0.4,0.28493,0.14933,1.74602,2.20345,1.82937,0.0008714,0.0008714,0.0008714
