epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.667,2.74196,5.29021,2.45018,0.07419,0.0806,0.02035,0.00484,3.1561,3.79827,3.0798,0.000656085,0.000656085,0.000656085
2,34.7298,2.57261,3.28951,2.26375,0.00844,0.1194,0.00676,0.00201,2.90262,5.31118,2.96555,0.00131402,0.00131402,0.00131402
3,50.6049,2.57293,3.36143,2.40339,0.01036,0.17612,0.00557,0.0015,3.14441,13.4179,3.19942,0.00196316,0.00196316,0.00196316
4,66.5401,2.58905,3.21956,2.47781,0.04703,0.15522,0.02733,0.00711,2.63262,5.57991,2.86627,0.0019604,0.0019604,0.0019604
5,82.4238,2.55614,3.16372,2.42849,0.09531,0.13743,0.04856,0.01295,2.49768,4.63303,2.55294,0.0019472,0.0019472,0.0019472
6,98.3352,2.48472,2.96724,2.38229,0.09696,0.16716,0.04828,0.01253,2.72539,3.12403,2.64892,0.001934,0.001934,0.001934
7,114.402,2.44861,2.96531,2.40638,0.10427,0.26269,0.08926,0.02288,2.48118,3.54374,2.61805,0.0019208,0.0019208,0.0019208
8,130.279,2.42995,2.96225,2.34953,0.17473,0.2209,0.09939,0.02461,2.59924,3.65553,2.60672,0.0019076,0.0019076,0.0019076
9,146.164,2.37734,2.99254,2.34102,0.12325,0.26866,0.07814,0.02128,2.42936,2.98342,2.53304,0.0018944,0.0018944,0.0018944
10,162.084,2.429,2.8168,2.30434,0.20121,0.2597,0.12426,0.03221,2.49555,3.03457,2.58963,0.0018812,0.0018812,0.0018812
11,178.035,2.39256,2.87776,2.31325,0.16473,0.29254,0.11367,0.02825,2.48003,2.89236,2.52669,0.001868,0.001868,0.001868
12,193.777,2.38279,2.79497,2.33288,0.14766,0.28955,0.10137,0.02581,2.45056,2.95274,2.65257,0.0018548,0.0018548,0.0018548
13,209.631,2.36835,2.79458,2.33787,0.15609,0.19701,0.10514,0.02782,2.47369,3.06712,2.53099,0.0018416,0.0018416,0.0018416
14,225.7,2.34379,2.75354,2.27459,0.19515,0.24179,0.14071,0.03699,2.47559,2.85282,2.48022,0.0018284,0.0018284,0.0018284
15,241.739,2.35988,2.79264,2.27066,0.19496,0.26269,0.14909,0.03733,2.4771,2.82185,2.44205,0.0018152,0.0018152,0.0018152
16,257.722,2.32276,2.76738,2.24279,0.22759,0.23582,0.15652,0.04128,2.36556,2.81547,2.44356,0.001802,0.001802,0.001802
17,273.983,2.31691,2.7054,2.21791,0.2045,0.28955,0.12797,0.0309,2.57841,2.91899,2.57838,0.0017888,0.0017888,0.0017888
18,290.188,2.32901,2.72272,2.23922,0.20012,0.34652,0.15248,0.04079,2.43415,2.72276,2.44021,0.0017756,0.0017756,0.0017756
19,306.926,2.34798,2.67225,2.2408,0.20492,0.33731,0.14971,0.03757,2.45801,2.72238,2.39504,0.0017624,0.0017624,0.0017624
20,323.376,2.30945,2.7341,2.25557,0.12062,0.50149,0.15242,0.03951,2.43986,2.69704,2.45039,0.0017492,0.0017492,0.0017492
